Id,Price
4567,171472.9897456405
5925,130075.83818929501
960,135141.20687354254
3848,109618.0621434833
746,175149.3702322723
868,343086.42533921584
672,111690.18928173644
2471,207395.33820437404
4510,117148.87092458444
8354,238869.0691714566
6393,186585.80494719927
13270,234143.3392508137
5250,290002.91672210046
16751,179141.33394241042
11404,127496.24992537292
10588,358050.1374193161
14925,189343.02091192495
6791,222278.87516224614
16097,198993.76981412902
16428,374547.6292789935
6945,332372.09043597546
3190,188329.12691360616
15709,459980.5404029572
13155,165060.46833838863
7675,204389.2123654463
14686,244438.8624395804
609,160080.41682139848
11155,127634.66106075117
10869,182976.0540928495
15742,183278.86243754934
9245,191796.27030027812
3340,179634.40336655578
2359,283926.3788227664
8070,187859.44778652926
13707,123914.96391959612
16079,252076.77032953908
15937,270840.1647540992
14090,194714.52230883448
9008,216685.5242377565
16384,173321.03875198582
11657,245059.3614566565
13151,133702.729332837
8990,173470.11805754667
11857,184630.94327636814
1565,153535.44974350245
8174,106802.25945153614
9247,246863.7513152082
10478,214994.67772874996
15509,147982.26336499964
8306,203712.1689948714
6642,188520.15536717436
7472,222241.60681329822
15989,131594.31777038975
13682,140434.20758829944
163,260681.41506129166
7076,191949.16782669802
7478,345164.82282600884
3029,189248.67657117615
1814,142302.05459102275
10057,138439.402280603
15100,186341.17466975265
12694,221796.76890182224
6291,191453.15044269792
12603,189564.98253150083
3218,249001.01385236852
13456,135182.6214851961
10170,237759.73170668053
4530,145710.1236120981
13329,159219.1335700794
4820,144107.22201575345
10896,170535.6479303663
13416,120772.40810931193
2701,222333.24788255437
11265,342782.631233507
9189,280784.5912777269
1858,189960.79814461328
14536,246365.47404237188
6199,308864.519132569
14730,150978.78172225584
7510,270331.38376362453
15505,161207.41568397995
7446,207489.613736101
14016,170910.24498683543
14113,115666.60476229468
8721,277333.85369029193
6193,308915.85219318816
5717,176010.8570416158
5427,310318.52089780156
9520,539937.311335094
6869,95123.03567652026
1658,155557.70157200177
6639,214913.72182844306
6283,188841.5938055127
6257,121612.49686485135
15235,187383.32158052048
902,213916.4924372815
8932,196594.23919537407
16469,349510.11935875117
2825,279388.6115901917
6450,445362.15358862816
11366,177628.2728379847
3801,355503.6255947871
11385,224262.41016399243
1079,197560.20948970728
3202,225052.55160837143
676,225808.7858143796
6185,280878.65264037513
7730,159258.23999709255
2573,185444.89314852242
10978,207590.01805861513
10962,265949.3396456994
8870,187304.39534893437
8496,184266.20579385234
5517,170000.67434207207
927,189028.8384141312
13675,207093.28408011002
1499,224993.90445900674
15536,337893.0522910304
8602,346876.79691733734
12137,478727.1702976367
9865,265716.0035692249
16353,293090.347362393
15908,223638.3739653693
3944,182748.76610021028
10359,210965.3459342717
15158,228373.77252938555
3259,252449.6013543039
7220,325003.114199455
13843,209714.1178384435
16736,179005.30516609407
702,275172.48163118714
16401,117440.83641138645
12134,177299.22148186038
6918,202099.50390261752
11792,130175.62119503453
3798,151279.18193909258
10395,127761.88039710416
11099,132750.12345295164
7090,202312.90526787692
11260,190140.35469673752
9647,220722.68906525883
2903,384234.18256081286
2071,187311.13656605684
8604,187411.40189868386
9346,219184.39465226693
3945,205884.65671080444
3420,132740.72218661907
10842,128140.87997492623
725,157984.8005699768
13931,193935.4872890538
16330,253649.17281568417
9066,402561.00494162244
3326,312393.74847147753
1556,291387.7321001471
6579,92892.19114596363
13877,136231.47142089895
9857,355718.4403754427
7302,265054.14449510904
5684,209331.34082011413
6513,233417.80901624495
11342,114063.32172402136
16561,243657.6129482228
6885,172831.86621444402
9308,186401.9044816398
2559,166324.9461268241
6648,185712.43743319297
15260,171228.4169737434
5113,198909.6317711949
16492,188738.96480449577
